ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60630,31,07/26/2020,08/01/2020,34,969,59,1689.8,863,10612,1505,18505.9,0.0,0.1,0,62,0.0,108.1,57344,60630-31,POINT (-87.759611 41.971261)
60643,11,03/08/2020,03/14/2020,,,,,4,5,8,10,0.0,0.0,0,0,0.0,0.0,49870,60643-11,POINT (-87.662381 41.700445)
60643,12,03/15/2020,03/21/2020,21,22,42,44.1,76,81,152,162.4,0.2,0.2,0,0,0.0,0.0,49870,60643-12,POINT (-87.662381 41.700445)
60630,32,08/02/2020,08/08/2020,32,1001,56,1745.6,858,11470,1496,20002.1,0.1,0.1,0,62,0.0,108.1,57344,60630-32,POINT (-87.759611 41.971261)
60630,33,08/09/2020,08/15/2020,50,1051,87,1832.8,1046,12516,1824,21826.2,0.1,0.1,0,62,0.0,108.1,57344,60630-33,POINT (-87.759611 41.971261)
60643,30,07/19/2020,07/25/2020,52,944,104,1892.9,1014,11189,2033,22436.3,0.1,0.1,0,64,0.0,128.3,49870,60643-30,POINT (-87.662381 41.700445)
60653,44,10/25/2020,10/31/2020,91,989,285,3093.3,1067,18582,3337,58119.6,0.1,0.1,0,41,0.0,128.2,31972,60653-44,POINT (-87.611244 41.819261)
60653,45,11/01/2020,11/07/2020,109,1098,341,3434.3,1143,19725,3575,61694.6,0.1,0.1,2,43,6.3,134.5,31972,60653-45,POINT (-87.611244 41.819261)
60643,25,06/14/2020,06/20/2020,14,751,28,1505.9,864,6388,1732,12809.3,0.0,0.1,1,63,2.0,126.3,49870,60643-25,POINT (-87.662381 41.700445)
60643,23,05/31/2020,06/06/2020,18,716,36,1435.7,405,4980,812,9986,0.1,0.1,3,58,6.0,116.3,49870,60643-23,POINT (-87.662381 41.700445)
60643,24,06/07/2020,06/13/2020,21,737,42,1477.8,544,5524,1091,11076.8,0.0,0.1,4,62,8.0,124.3,49870,60643-24,POINT (-87.662381 41.700445)
60630,34,08/16/2020,08/22/2020,57,1108,99,1932.2,1017,13533,1774,23599.7,0.1,0.1,0,62,0.0,108.1,57344,60630-34,POINT (-87.759611 41.971261)
60630,35,08/23/2020,08/29/2020,50,1158,87,2019.4,984,14517,1716,25315.6,0.1,0.1,1,63,1.7,109.9,57344,60630-35,POINT (-87.759611 41.971261)
60643,26,06/21/2020,06/27/2020,21,772,42,1548,924,7312,1853,14662.1,0.0,0.1,0,63,0.0,126.3,49870,60643-26,POINT (-87.662381 41.700445)
60643,27,06/28/2020,07/04/2020,27,799,54,1602.2,937,8249,1879,16541,0.0,0.1,0,63,0.0,126.3,49870,60643-27,POINT (-87.662381 41.700445)
60630,36,08/30/2020,09/05/2020,54,1212,94,2113.6,956,15473,1667,26982.8,0.1,0.1,0,63,0.0,109.9,57344,60630-36,POINT (-87.759611 41.971261)
60653,48,11/22/2020,11/28/2020,85,1464,266,4579,1338,24152,4185,75541.1,0.1,0.1,1,45,3.1,140.7,31972,60653-48,POINT (-87.611244 41.819261)
60654,10,03/01/2020,03/07/2020,,,,,2,2,10,10.5,0.0,0.0,0,0,0.0,0.0,19135,60654-10,POINT (-87.636354 41.892485)
60653,49,11/29/2020,12/05/2020,118,1582,369,4948.1,1388,25540,4341,79882.4,0.1,0.1,1,46,3.1,143.9,31972,60653-49,POINT (-87.611244 41.819261)
60653,50,12/06/2020,12/12/2020,108,1690,338,5285.9,1475,27015,4613,84495.8,0.1,0.1,2,48,6.3,150.1,31972,60653-50,POINT (-87.611244 41.819261)
60653,51,12/13/2020,12/19/2020,77,1767,241,5526.7,1379,28394,4313,88809,0.1,0.1,1,49,3.1,153.3,31972,60653-51,POINT (-87.611244 41.819261)
Unknown,47,11/15/2020,11/21/2020,102,493,0,0,2449,69231,0,0,0.1,0.1,0,4,0.0,0.0,0,Unknown-47,
60601,47,11/15/2020,11/21/2020,52,506,354,3448,985,11067,6712,75414,0.1,0.0,0,8,0.0,54.5,14675,60601-47,POINT (-87.622844 41.886262)
60655,33,08/09/2020,08/15/2020,53,487,184,1690.7,619,7244,2149,25149.3,0.1,0.1,2,12,6.9,41.7,28804,60655-33,POINT (-87.701434 41.696456)
60655,34,08/16/2020,08/22/2020,38,525,132,1822.7,733,7977,2545,27694.1,0.1,0.1,2,14,6.9,48.6,28804,60655-34,POINT (-87.701434 41.696456)
60655,35,08/23/2020,08/29/2020,50,575,174,1996.3,779,8756,2704,30398.6,0.1,0.1,0,14,0.0,48.6,28804,60655-35,POINT (-87.701434 41.696456)
60655,36,08/30/2020,09/05/2020,24,599,83,2079.6,479,9235,1663,32061.5,0.1,0.1,0,14,0.0,48.6,28804,60655-36,POINT (-87.701434 41.696456)
60655,37,09/06/2020,09/12/2020,19,618,66,2145.5,384,9619,1333,33394.7,0.1,0.1,0,14,0.0,48.6,28804,60655-37,POINT (-87.701434 41.696456)
60655,38,09/13/2020,09/19/2020,23,641,80,2225.4,481,10100,1670,35064.6,0.1,0.1,0,14,0.0,48.6,28804,60655-38,POINT (-87.701434 41.696456)
