PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
GOOSEBERRY,348,PLAYGROUND PARK,OUTDOOR,1166550.56862,1931174.5822300001,"{'latitude': '41.966717', 'longitude': '-87.663', 'needs_recoding': False}"
GOUDY (WILLIAM) SQUARE,105,PLAYGROUND PARK,OUTDOOR,1176550.2208700001,1908984.7470199999,"{'latitude': '41.905607', 'longitude': '-87.626905', 'needs_recoding': False}"
GRAND,1103,PLAYGROUND PARK,OUTDOOR,1152576.59394,1907192.60198,"{'latitude': '41.901197', 'longitude': '-87.715016', 'needs_recoding': False}"
GRAND CROSSING,15,BASKETBALL COURT,OUTDOOR,1184402.2199299999,1854420.4007699999,"{'latitude': '41.755697', 'longitude': '-87.599774', 'needs_recoding': False}"
GRAND CROSSING,15,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1184211.2934699999,1853844.89142,"{'latitude': '41.754123', 'longitude': '-87.600492', 'needs_recoding': False}"
GRAND CROSSING,15,FITNESS CENTER,INDOOR,1184221.5575600001,1854494.9541,"{'latitude': '41.755906', 'longitude': '-87.600434', 'needs_recoding': False}"
GRAND CROSSING,15,GYMNASIUM,INDOOR,1184226.68976,1854320.4636299999,"{'latitude': '41.755427', 'longitude': '-87.60042', 'needs_recoding': False}"
GRAND CROSSING,15,BASEBALL JR/SOFTBALL,OUTDOOR,1184460.73162,1853647.7012,"{'latitude': '41.753576', 'longitude': '-87.599584', 'needs_recoding': False}"
GRAND CROSSING,15,BASEBALL JR/SOFTBALL,OUTDOOR,1184340.2663100001,1853957.4692800001,"{'latitude': '41.754429', 'longitude': '-87.600016', 'needs_recoding': False}"
GRAND CROSSING,15,BASEBALL JR/SOFTBALL,OUTDOOR,1184030.49823,1854015.9809699999,"{'latitude': '41.754596', 'longitude': '-87.601149', 'needs_recoding': False}"
GRAND CROSSING,15,POOL (OUTDOOR),OUTDOOR,1184209.47523,1854638.95939,"{'latitude': '41.756302', 'longitude': '-87.600474', 'needs_recoding': False}"
GRAND CROSSING,15,PLAYGROUND,OUTDOOR,1184023.6143799999,1854401.4703599999,"{'latitude': '41.755654', 'longitude': '-87.601162', 'needs_recoding': False}"
GRAND CROSSING,15,SPRAY FEATURE,OUTDOOR,1184028.7771000001,1854263.79577,"{'latitude': '41.755276', 'longitude': '-87.601148', 'needs_recoding': False}"
GRAND CROSSING,15,BASEBALL SR,OUTDOOR,1184075.24223,1853649.4219899999,"{'latitude': '41.753589', 'longitude': '-87.600996', 'needs_recoding': False}"
GRAND CROSSING,15,TENNIS COURT,OUTDOOR,1184438.35962,1854692.3083599999,"{'latitude': '41.756443', 'longitude': '-87.599633', 'needs_recoding': False}"
GRAND CROSSING,15,TENNIS COURT,OUTDOOR,1184390.1733599999,1854690.5875599999,"{'latitude': '41.756439', 'longitude': '-87.59981', 'needs_recoding': False}"
GRAND CROSSING,15,TENNIS COURT,OUTDOOR,1184037.3817400001,1854657.8897899999,"{'latitude': '41.756358', 'longitude': '-87.601104', 'needs_recoding': False}"
GRAND CROSSING,15,TENNIS COURT,OUTDOOR,1183994.3585399999,1854656.16867,"{'latitude': '41.756354', 'longitude': '-87.601261', 'needs_recoding': False}"
GRAND CROSSING,15,TENNIS COURT,OUTDOOR,1184467.61546,1854055.56259,"{'latitude': '41.754695', 'longitude': '-87.599546', 'needs_recoding': False}"
GRAND CROSSING,15,TENNIS COURT,OUTDOOR,1184419.42921,1854055.56259,"{'latitude': '41.754696', 'longitude': '-87.599722', 'needs_recoding': False}"
GRAND CROSSING,15,TRACK,OUTDOOR,1184362.6383100001,1854415.23805,"{'latitude': '41.755684', 'longitude': '-87.599919', 'needs_recoding': False}"
GRANDPARENTS',472,PLAYGROUND,OUTDOOR,1118717.8309500001,1935183.8150299999,"{'latitude': '41.978611', 'longitude': '-87.838792', 'needs_recoding': False}"
GRANT (ULYSSES),24,BAND SHELL,SPECIAL,1178547.0649699999,1899278.78119,"{'latitude': '41.878928', 'longitude': '-87.619867', 'needs_recoding': False}"
GRANT (ULYSSES),24,DOG FRIENDLY AREA,OUTDOOR,1178080.26407,1896192.30443,"{'latitude': '41.870469', 'longitude': '-87.621675', 'needs_recoding': False}"
GRANT (ULYSSES),24,GARDEN,OUTDOOR,1177626.13374,1896698.83852,"{'latitude': '41.871869', 'longitude': '-87.623326', 'needs_recoding': False}"
GRANT (ULYSSES),24,GARDEN,OUTDOOR,1179195.3559999999,1900941.68994,"{'latitude': '41.883476', 'longitude': '-87.617435', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1179017.48496,1896101.52311,"{'latitude': '41.870198', 'longitude': '-87.618237', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178724.19257,1896083.6392900001,"{'latitude': '41.870156', 'longitude': '-87.619314', 'needs_recoding': False}"
